# source, target, weight, time
0,1,1,1095171960
0,25,1,1095172680
0,168,1,1097395680
0,24,1,1097351580
0,257,1,1098521940
0,272,1,1098897420
0,316,1,1099410720
0,319,1,1099521420
0,163,1,1101546060
0,429,1,1080569400
0,104,1,1080494700
0,512,1,1102008180
0,139,1,1102457100
0,167,1,1102008480
0,529,1,1102203300
0,535,1,1102433580
0,32,1,1102757100
0,547,1,1102757220
0,554,1,1104140340
0,239,1,1116398100
1,1284,1,1124222760
1,3059,-1,1160354400
1,4672,1,1180145520
1,6479,1,1190061120
2,1,-1,1095173580
2,25,1,1095173400
2,5,-1,1094953560
2,7,-1,1095306420
2,26,1,1095397200
2,44,1,1096262160
2,118,-1,1096261980
2,22,1,1096261620
2,141,-1,1096261140
2,168,-1,1097086860
2,24,1,1097019780
2,228,1,1097019660
2,229,-1,1097440620
2,234,-1,1097520180
2,239,1,1097628300
2,247,-1,1097715240
2,18,-1,1098056340
2,257,-1,1098132420
2,262,1,1098318300
2,272,-1,1098387720
2,0,-1,1098358440
2,275,-1,1098712080
2,278,-1,1116964740
2,69,1,1098839820
2,85,-1,1098956700
2,316,1,1099254360
2,319,-1,1099427400
2,320,1,1099541700
2,310,1,1099600800
2,330,1,1099860000
2,332,1,1099948080
2,339,1,1099948500
2,342,1,1099949640
2,347,1,1099949880
2,379,-1,1100562060
2,205,1,1100677680
2,387,1,1100677740
2,393,-1,1100726460
2,408,1,1101352260
2,193,-1,1089502860
2,433,-1,1089671640
2,459,-1,1090939680
2,64,1,1090682100
2,498,1,1101457740
2,254,-1,1101743820
2,139,1,1102019880
2,167,1,1102019520
2,340,1,1102225620
2,535,1,1102567380
2,536,1,1102567260
2,547,1,1102889100
2,253,1,1103297640
2,554,-1,1103744160
2,203,1,1105056120
2,589,-1,1105467420
2,591,1,1106176260
2,232,1,1106176200
2,603,-1,1106176500
2,605,1,1106438220
2,614,1,1106864100
2,284,1,1108352100
2,279,1,1108352100
2,381,1,1108351860
2,660,1,1109897400
2,213,1,1110693540
2,684,-1,1110657900
2,640,1,1110924840
2,546,1,1110939900
